Time (s),Sound pressure level (dB)
117.0,-52.83061702781585
117.25,-51.194790654407505
117.5,-59.606061160495685
117.75,-57.03561394476534
118.0,-58.40745721883701
118.25,-53.00445724137516
118.5,-58.63748965582555
118.75,-50.35851519009085
119.0,-50.96887655934556
119.25,-38.21991305433407
119.5,-47.12141930366836
119.75,-48.65249073313052
120.0,-51.374691966238714
120.25,-53.0882729847715
120.5,-53.877703719672525
120.75,-45.480275481220225
121.0,-58.97172296708883
121.25,-55.7006983845001
121.5,-55.30811656783258
121.75,-58.803247336349756
122.0,-54.77643345299189
122.25,-58.10362693005834
122.5,-55.936541680067826
122.75,-53.328045170922984
123.0,-51.523276940498924
123.25,-50.89894078614423
123.5,-55.29208630187511
123.75,-51.65712917832588
124.0,-63.58647132363014
124.25,-46.202183149506574
124.5,-54.55241207491943
124.75,-51.4065140672885
125.0,-55.79227043801417
125.25,-45.50761465621511
125.5,-56.892301349924196
125.75,-44.016949674802106
126.0,-56.448200300585164
126.25,-52.77325840891388
126.5,-46.234494081030206
126.75,-45.579122195071314
127.0,-56.83075183610028
127.25,-51.988808095809105
127.5,-60.91516546283781
127.75,-60.0417696447189
128.0,-47.45956982919293
128.25,-49.61563385579506
128.5,-53.614210626425844
128.75,-55.99452336133575
129.0,-46.983878023451325
129.25,-49.82115077190033
129.5,-51.51078870319932
129.75,-47.61818398243108
130.0,-50.61476367693591
130.25,-58.50734754415829
130.5,-48.185695132119506
130.75,-48.9968355253024
131.0,-52.76738403096972
131.25,-58.34131225504615
131.5,-47.12419473311506
131.75,-51.3988470338922
132.0,-56.3414064845907
132.25,-53.84973165748036
132.5,-49.539695961413976
132.75,-58.30216200618824
133.0,-55.78279314522942
133.25,-55.726548827072705
133.5,-48.62720921465409
133.75,-57.59173618848079
134.0,-51.52085558835526
134.25,-44.99013391602952
134.5,-55.16432728901692
134.75,-60.64527986151044
135.0,-52.808207678443026
135.25,-51.903132665776944
135.5,-52.95097216613571
135.75,-54.06115601965129
136.0,-56.17601350777624
136.25,-56.07871981505773
136.5,-49.0015392590236
136.75,-51.52196172793711
137.0,-59.325643000777944
137.25,-54.78207596643118
137.5,-61.78974326856909
137.75,-54.58663608506251
138.0,-47.17757239164126
138.25,-58.861573509091215
138.5,-45.109051354341126
138.75,-56.442076679792756
139.0,-57.59772203655721
139.25,-55.644014654775205
139.5,-44.38562262292957
139.75,-51.17703731923799
140.0,-52.76760150877866
140.25,-60.39738045017937
140.5,-53.40984926473566
140.75,-47.81790200811893
141.0,-52.83874236448487
141.25,-59.662722750049575
141.5,-45.41381974909953
141.75,-59.83542071302688
142.0,-52.6332107870511
142.25,-58.37834210967363
142.5,-53.22677850923313
142.75,-65.32379523686807
143.0,-53.162145802120136
143.25,-52.855193268673375
143.5,-54.69042576015172
143.75,-53.536198032960925
144.0,-48.50905397974652
144.25,-51.26233548862395
144.5,-54.56797000120915
144.75,-51.71417660612
145.0,-54.49647173863521
145.25,-51.15194423458832
145.5,-48.67039341494601
145.75,-61.38995537716136
146.0,-56.66125892051934
146.25,-54.08840452072286
146.5,-57.44297058085278
146.75,-58.46957712595686
147.0,-53.753521683303376
147.25,-53.465505968339194
147.5,-53.00653174753196
147.75,-63.78131026713932
148.0,-46.684690347549584
148.25,-53.12981243270199
148.5,-55.76639886523321
148.75,-47.62715298504895
149.0,-59.727918517327566
149.25,-60.838506914706926
149.5,-48.578915722097335
149.75,-67.91906158515151
150.0,-50.42431241953602
150.25,-54.42536763110664
150.5,-55.08690335253052
150.75,-47.49523574914471
151.0,-57.524498453129866
151.25,-55.96714486835459
151.5,-48.44613986955025
151.75,-51.6024065640762
152.0,-46.60038451647187
152.25,-51.72472698630036
152.5,-52.10750317725992
152.75,-59.67260772456635
153.0,-52.240405919427815
153.25,-58.78714894589142
153.5,-48.33172042329685
153.75,-49.6164771087791
154.0,-61.45230116767095
154.25,-52.93734533498397
154.5,-49.44274256087479
154.75,-56.812291370372286
155.0,-51.84498039763094
155.25,-52.64383081355092
155.5,-46.485441468762744
155.75,-52.55008466165185
156.0,-51.853988085912405
156.25,-55.24823960079575
156.5,-55.7910231232441
156.75,-51.20365095823055
157.0,-48.73008802795312
157.25,-53.7364540836065
157.5,-51.12622308052269
157.75,-56.50130314953209
158.0,-60.605269996769096
158.25,-53.19330894753182
158.5,-55.33066418881994
158.75,-55.54864963363702
159.0,-54.87199650769097
159.25,-50.61523364602263
159.5,-55.20730064166887
159.75,-59.08859376971931
160.0,-46.533121277879104
160.25,-52.96540413013871
160.5,-51.8675405710279
160.75,-60.31743215290574
161.0,-60.66514723474468
161.25,-49.49249321191043
161.5,-52.98116152056523
161.75,-61.895387057764395
162.0,-52.67678331819005
162.25,-53.05131588340091
162.5,-45.396881265775676
162.75,-53.33438621580827
163.0,-54.638322571391726
163.25,-53.4387627305117
163.5,-55.43368634791984
163.75,-55.15189497533877
164.0,-50.140045161310766
164.25,-51.31457188761539
164.5,-51.985607651941066
164.75,-49.38738098739726
165.0,-49.26236397838203
165.25,-48.0862191745463
165.5,-46.40942800284723
165.75,-52.68279155432735
166.0,-47.78472823007146
166.25,-54.69093293712098
166.5,-62.3916870488622
166.75,-60.89222930860592
167.0,-51.464104106837375
167.25,-52.69529709138291
167.5,-56.3897139583573
167.75,-53.855134514600444
168.0,-46.28565416930253
168.25,-62.32619269057288
168.5,-49.774263483567786
168.75,-50.57709584666037
169.0,-49.13512400744445
169.25,-45.79679724382132
169.5,-50.068316334739926
169.75,-54.17716604226117
170.0,-57.83128601170985
170.25,-62.16575899938064
170.5,-49.89972025941856
170.75,-46.54843282565136
171.0,-47.975938805641526
171.25,-52.64992590669348
