"Time (s)","Sound pressure level (dB)"
5.007661187E2,-3.524571659E1
5.009656529E2,-4.047537613E1
5.011657111E2,-4.386311519E1
5.013669637E2,-4.292563624E1
5.015661794E2,-4.398332248E1
5.017660410E2,-4.234474092E1
5.019660216E2,-4.281362618E1
5.021666916E2,-3.658862868E1
5.023657178E2,-3.535207782E1
5.025657907E2,-3.169073635E1
5.027672963E2,-4.014246122E1
5.029661049E2,-3.638726820E1
5.031661575E2,-3.525634035E1
5.033664058E2,-3.857776940E1
5.035660600E2,-3.897939945E1
5.037661120E2,-2.979535913E1
5.039657471E2,-2.252614466E1
5.041668175E2,-2.182005995E1
5.043639233E2,-2.963064077E1
5.045655871E2,-3.205887926E1
5.047660793E2,-3.406209285E1
5.049660233E2,-3.520451270E1
5.051658130E2,-3.888728618E1
5.053661665E2,-3.860911180E1
5.055663511E2,-3.676312363E1
5.057668166E2,-4.139055474E1
5.059666627E2,-4.082953470E1
5.061638419E2,-3.971939932E1
5.063661310E2,-3.717611016E1
5.065671196E2,-3.680754525E1
5.067657055E2,-3.873908358E1
5.069656366E2,-4.031504133E1
5.071662172E2,-4.052120165E1
5.073657213E2,-4.192004571E1
5.075661833E2,-4.273716622E1
5.077660763E2,-4.316120134E1
5.079659953E2,-3.835361784E1
5.081658739E2,-3.788094513E1
5.083670800E2,-3.970270443E1
5.085657473E2,-3.869641901E1
5.087668009E2,-4.223119768E1
5.089666658E2,-4.121534606E1
5.091667156E2,-3.948997803E1
5.093656338E2,-4.101374759E1
5.095659533E2,-4.233681284E1
5.097655356E2,-4.168941219E1
5.099661378E2,-4.184895455E1
5.101667720E2,-4.456806320E1
5.103660883E2,-4.410253279E1
5.105657360E2,-4.166867705E1
5.107656981E2,-4.068179603E1
5.109663218E2,-4.528889315E1
5.111657520E2,-3.548835125E1
5.113656455E2,-4.142505916E1
5.115629030E2,-3.921941054E1
5.117660883E2,-4.504470324E1
5.119656905E2,-2.898754200E1
5.121660984E2,-3.713700658E1
5.123666880E2,-3.823563724E1
5.125657693E2,-3.882959574E1
5.127653984E2,-3.754123309E1
5.129675344E2,-4.553395819E1
5.131667966E2,-3.395558083E1
5.133661748E2,-3.798263073E1
5.135662563E2,-4.422796327E1
5.137656895E2,-2.755507959E1
5.139663560E2,-2.982933509E1
5.141656960E2,-3.226115802E1
5.143663760E2,-3.642825753E1
5.145662443E2,-4.135819845E1
5.147655591E2,-3.951190033E1
5.149659221E2,-4.381930901E1
5.151659646E2,-4.349547054E1
5.153661003E2,-4.560402996E1
5.155663268E2,-4.333911401E1
5.157660606E2,-4.519249626E1
5.159654853E2,-4.280909424E1
5.161663190E2,-4.361365555E1
5.163663794E2,-4.510393028E1
5.165660293E2,-4.358911193E1
5.167669120E2,-4.315113010E1
5.169658286E2,-2.895959605E1
